class,weight
battery,1.3691376701966718
biological,1.3134978229317853
brown-glass,2.1294117647058823
cardboard,1.4503205128205128
clothes,0.24282264555943117
green-glass,2.0568181818181817
metal,1.6821561338289963
paper,1.2312925170068028
plastic,1.4933993399339933
shoes,0.6539017341040463
trash,1.8545081967213115
white-glass,1.6666666666666667
