train_loss,train_accuracy,validation_loss,validation_accuracy
1.8590048759681743,0.35718232044198894,1.5212714131113076,0.5272883541039965
1.5242838959667564,0.489963167587477,1.3788360783507705,0.5449076063601204
1.3925844969670418,0.5434622467771639,1.2602467414489569,0.5629565964761496
1.2959641019283736,0.5785451197053407,1.2535427143812488,0.5870219166308551
1.2357075597260758,0.6034990791896869,1.1126059868533467,0.6312849162011173
1.159828775912578,0.6268876611418048,1.1423380629003022,0.6299957026214009
1.0913893330382598,0.6401473296500921,1.0159896140350617,0.7021916630855178
1.0697567990691184,0.6546961325966851,0.9877448159837907,0.695745595186936
1.018768658910228,0.6683241252302026,0.9740950652443394,0.706059303824667
0.97732906973823,0.6837016574585635,1.0017100263676728,0.6978942844864633
0.9196228757967168,0.6919889502762431,0.9363985507847876,0.7198109153416415
0.8751776170225652,0.7134438305709024,0.9676641844145771,0.6798452943704341
0.8558235005120546,0.7187845303867403,0.9321436913780865,0.7327030511388053
0.8256618258922359,0.7316758747697975,0.9279225203014516,0.7327030511388053
0.781560938880808,0.7382136279926336,0.8947855845817333,0.7339922647185217
