epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.3939542209684959,0.6892265193370166,0.7488205465422099,0.8324022346368715
2,0.7265391673501684,0.8270718232044199,0.5360369186289689,0.8809626128061883
3,0.6100024478650664,0.8475138121546961,0.4706589414369512,0.8878384185646756
4,0.5339079908464056,0.8614180478821363,0.4452063622242092,0.8908465835840138
5,0.49573189105776794,0.8703499079189687,0.40377089922961934,0.9003008165019338
6,0.4732214076303865,0.8759668508287293,0.3677566903225075,0.9093253115599484
7,0.43526221933066295,0.8862799263351749,0.34999248171549374,0.9153416415986249
8,0.4168176530913534,0.8898710865561694,0.3557512518682857,0.9131929522990976
9,0.40500289972864684,0.8920810313075507,0.3313396357905983,0.9179200687580575
10,0.3795193025530153,0.8960405156537753,0.33419170570978035,0.9179200687580575
